gamma,state,value,sample_variance,sample_std,stderr,ci_lower_95,ci_upper_95,ci_width_95,rank_within_gamma,num_time_steps,num_trajectories,method
0.08,Home,1.1252580816317117,0.002589087237116991,0.05088307417125061,0.0022755602550216026,1.1207979835318693,1.129718179731554,0.008920196199684682,3,50,500,monte_carlo
0.08,Chat,0.6077839600652818,2.089628324831712,1.4455546772196866,0.06464717046911972,0.48107550594580717,0.7344924141847564,0.2534169082389493,4,50,500,monte_carlo
0.1,Coffee,2.252193290821422,0.4415566364625877,0.6644972810046612,0.210132490696367,1.8403336090565428,2.6640529725863016,0.8237193635297586,1,50,10,monte_carlo
0.1,Computer,2.0926901133893,14.514961964299655,3.8098506485556167,1.2047805594505436,-0.2686797831337655,4.454060009912365,4.722739793046131,2,50,10,monte_carlo
0.1,Home,1.1522247608831317,0.003214032612331577,0.056692438758017605,0.017927723258494305,1.117086423296483,1.1873630984697805,0.07027667517329768,3,50,10,monte_carlo
0.1,Chat,0.26686841472751655,2.7741237075829193,1.665570084860712,0.5266995070799781,-0.7654626191492405,1.2991994486042735,2.064662067753514,4,50,10,monte_carlo
0.1,Computer,3.4867430101247843,7.7675137903400095,2.78702597589976,0.6231979537169554,2.265275020839552,4.708210999410017,2.442935978570465,1,50,20,monte_carlo
0.1,Coffee,2.307457129478707,0.4551880059777476,0.6746762230712948,0.1508621897590227,2.0117672375510227,2.6031470214063916,0.591379783855369,2,50,20,monte_carlo
0.1,Home,1.1552262694679531,0.004085464338415225,0.06391763714668453,0.014292418162115229,1.1272131298702073,1.183239409065699,0.0560262791954917,3,50,20,monte_carlo
0.1,Chat,0.936753849630682,2.2906764132249124,1.5134980717612139,0.33842845722729287,0.273434073465188,1.6000736257961758,1.326639552330988,4,50,20,monte_carlo
0.1,Computer,2.61847538774685,10.450300693181648,3.232692483547058,0.45717175532138127,1.7224187473169426,3.514532028176757,1.7921132808598146,1,50,50,monte_carlo
0.1,Coffee,2.2273024207531495,0.305613463569972,0.5528231756809513,0.07818100326421655,2.074067654355285,2.380537187151014,0.30646953279572886,2,50,50,monte_carlo
0.1,Home,1.16180446650454,0.004080953544546013,0.0638823414140873,0.00903432736239507,1.1440971848742456,1.1795117481348343,0.03541456326058868,3,50,50,monte_carlo
0.1,Chat,0.4330140522353142,2.117636189112232,1.4552100154658887,0.20579777399730212,0.029650415200602076,0.8363776892700263,0.8067272740694242,4,50,50,monte_carlo
0.1,Computer,2.4909209214815884,9.184530851127958,3.0305990911250467,0.3030599091125047,1.8969234996210793,3.0849183433420975,1.1879948437210184,1,50,100,monte_carlo
0.1,Coffee,2.1560423597267446,0.4594040876423337,0.677793543523641,0.0677793543523641,2.023194825196111,2.288889894257378,0.2656950690612673,2,50,100,monte_carlo
0.1,Home,1.1757660510784786,0.005727098834686579,0.0756775979711736,0.00756775979711736,1.1609332418761287,1.1905988602808286,0.029665618404700052,3,50,100,monte_carlo
0.1,Chat,0.4490641724452849,2.0073167208938267,1.4167980522621517,0.14167980522621518,0.17137175420190315,0.7267565906886666,0.5553848364867635,4,50,100,monte_carlo
0.1,Computer,3.0775592771457307,6.978606464434688,2.641705219064892,0.11814064892690143,2.846003605249004,3.3091149490424576,0.4631113437934536,1,50,500,monte_carlo
0.1,Coffee,2.2490533100839367,0.4198826593351275,0.6479835332283742,0.028978704571982768,2.1922550491228505,2.305851571045023,0.11359652192217244,2,50,500,monte_carlo
0.1,Home,1.1538399642216481,0.0037796271188733034,0.0614786720649796,0.002749409798074235,1.1484511210174226,1.1592288074258736,0.010777686408451002,3,50,500,monte_carlo
